Type,Variable,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12
Berry,Blackberry 1,-0.6764220394021215,1.5580151689427377,0.028898087508988726,-2.1207456903686817,0.4210352438629649,0.4163394373578103,-0.08720557372022429,0.5552753983687947,0.664871341229404,0.7992140630019666,-0.9598364163145156,-0.009253265332294706
Berry,Blackberry 2,-0.4609881334636756,2.162207617280046,0.44500036489621037,-0.6763648288036637,-0.4013443466592306,1.353241138926611,-0.14366140298967378,0.3180911564775005,0.8201815123890276,1.3393069483166387,0.6873123792775119,0.26706033209993735
Berry,Blackberry 3,-1.0254399947584931,1.02861581947522,0.5887360046867792,-1.5512727880279888,0.14909061064128293,-0.15446489895069254,-0.009161493346768293,0.17303240623719682,-0.0747692221096119,-1.5859312626110234,-0.6971705877451988,-1.1680038747985717
Berry,Blackberry 4,-0.47553155315215656,0.7382242055328246,-2.1435581909739354,1.8024545839547026,-1.0541346615692258,0.6043037748750979,1.1211731491486039,1.6158094078594523,-0.4445552321129973,-1.3036853187300352,-0.22875124188160748,-0.8945590856526199
Berry,Blackberry 5,-0.7379487563687158,1.553414307677106,-2.2906969712092997,-0.37683769873282,-1.478964908852945,-0.6525531996889741,-0.5031411050328544,-0.9561188454676726,-0.7606157801072627,-0.28917699831188665,0.7488380622905244,1.1563464775474603
Berry,Blueberry 1,-0.9422087003758342,-0.16697305661563744,1.345339860920736,0.9721392704931476,0.34190282710155545,-0.7088429961530724,0.27582658803725946,0.5085728962086721,0.9436314154267973,-1.049607272159276,-0.3312018392804027,-0.4084298082945882
Berry,Blueberry 2,-0.8913837115179839,-0.735498220703719,0.46896273229523144,1.3567656079546317,-0.05868399490436883,3.0825390579330714,0.5381795299674604,-1.166343240551428,-0.4336825676528439,1.1514694572652717,-0.6718560626522059,-0.5192045363674614
Berry,Blueberry 3,-0.6933958622359521,0.30840131368435825,0.4978464012845467,0.2667006811732573,1.4525898901551186,-1.5255700055289458,0.7672082797319336,-0.17612888277535216,-1.9633952009375941,-0.15720881013154497,-0.29921709761292664,1.3277063616749814
Berry,Blueberry 4,-1.0628467986534351,-0.19768030677066684,0.5402984558812325,-0.601166164706686,1.4538523436303432,-0.12184493120213122,0.606785673228759,-0.2660766948686794,0.4931483536836296,-0.9894948931963075,1.2494313397661587,0.30966441844123377
Berry,Blueberry 5,-0.9039465028860044,0.012588354862110037,0.2956550069152533,1.3192008101423172,1.2507831341623388,0.8209763257403555,0.4754995847523843,1.3063934063320506,-0.7301431899715524,1.4665355418428228,0.5442529926656648,1.5165553882151666
Berry,Blueberry 6,-0.911518977118509,-0.8093313537641905,-0.4567668695659965,-0.11668496188535873,1.1773053334758734,-0.5825027048363789,-0.5637671596617465,-1.3323960085375752,-1.9459748687570528,-0.27921068193134124,-1.2445417918166597,-1.1594885293918467
Berry,Strawberry1,1.1237871749199702,-1.2913469790644805,0.3002987040914423,-1.9371407861896317,-0.26992899204191884,0.0033675727455970803,1.9805580284905704,1.5663128858366808,-0.1782144467400271,-0.041323702999646925,0.4972028819298666,0.7154034715275296
Berry,Strawberry2,2.1865268472713972,0.39020969915877146,0.4663930259265423,-0.06885679992335511,-0.4544949914869128,0.3332037474609937,-1.237545485334521,0.4500443902649953,-0.9556201306549278,0.13940308864017956,-2.84848834731276,1.2935931540963017
Berry,Strawberry3,0.21645836484216974,-0.6840885871435687,0.8409946827752606,0.18175463290570415,-1.4742934839258655,1.174373616502168,0.3812982313904451,0.061952720121046204,0.4106304169228521,-2.2704382520866915,-0.36073715267661094,0.08447548665307344
Berry,Strawberry4,0.779921415908279,0.3112608796066119,1.5670608065831573,1.071896038296261,-1.7372829146881779,-1.5779288303755123,-0.3298441339334273,0.7130061388711452,-1.328793017643938,0.5226637961615318,1.4525568637318775,-0.6788932304621007
Berry,Strawberry5,0.5958853765743387,-0.6559070523785016,0.5827773393626398,-1.219868146606062,-0.8526873720374395,0.7615111548483593,0.054789811476750334,-1.5876181188637606,-1.2496243986837163,0.5416556831976042,1.2577933043402572,-1.359994255269945
Berry,Strawberry6,2.8908073502211367,1.5171045675142416,-0.4023105514850358,0.8846827125423682,2.3387831983579894,0.4837564962014518,0.1601110783308299,-0.5788702616674045,0.3459050063678272,-0.8335917793084415,1.2298785965836971,-0.6696429850566464
Berry,raspberry 1,0.0027842485765064958,0.24770479054561398,0.7795282005818239,0.7647137454630821,-0.9149981256560603,-0.9011568164788697,0.4984832107635054,-2.300648825325573,1.538153046173904,0.21203466681366995,-0.046565014013437704,1.5431676435036632
Berry,raspberry 2,-0.18193221858720712,-0.05470297256304983,0.05660524561262618,0.294837169270953,-0.1595540623366538,-1.0410689490688838,-0.7502585513509545,1.0750904724064292,0.5579921077638965,1.7404351705316548,-0.10284611471541812,-1.7585549269309018
